Timestamp,Message
2024-08-02 10:28:23, ------ Logger Start  ------
2024-08-02 10:28:26, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:28:26, Set program coordinate 0 zero point at(405.505 * 25.682)(WCS)
2024-08-02 10:28:26, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:28:26," Initial Breakpoint, Process Mode:0"
2024-08-02 10:28:41, TBCSShmThread wait for RTOS Run OK
2024-08-02 10:28:41, TBCSShmThread RTOS Run OK
2024-08-02 10:28:41, Enable BLT420
2024-08-02 10:28:41,\b Gas sensor malfunction
2024-08-02 10:28:41,\b \u20445?\u25252?\u38236?\u25277?\u23625?\u27668?\u21387?\u20256?\u24863?\u22120?\u22833?\u25928?
2024-08-02 10:28:41, Bcs100E Params Initialize
2024-08-02 10:28:42, CutSystem.RestoreState
2024-08-02 10:28:42, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:28:42, MachineCfg\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:28:42, AppStart
2024-08-02 10:28:42, Handset USB detected!
2024-08-02 10:28:42,\b Alarm:atras
2024-08-02 10:28:42, NewAlarm
2024-08-02 10:28:42, NC module initialized!
2024-08-02 10:28:42, Cmd ready:\u20462?\u25913?\u23792?\u20540?\u21151?\u29575?
2024-08-02 10:28:42,"\b Cmd:\u20462?\u25913?\u23792?\u20540?\u21151?\u29575?, execution ended!"
2024-08-02 10:28:42,\b StartRoutine Error!\u20462?\u25913?\u23792?\u20540?\u21151?\u29575?
2024-08-02 10:28:42, Cmd ready:Modify Pressure
2024-08-02 10:28:42, Cmd ready:\u20462?\u25913?\u23792?\u20540?\u21151?\u29575?
2024-08-02 10:28:42,"\b Cmd:\u20462?\u25913?\u23792?\u20540?\u21151?\u29575?, execution ended!"
2024-08-02 10:28:42,\b StartRoutine Error!\u20462?\u25913?\u23792?\u20540?\u21151?\u29575?
2024-08-02 10:28:42, Cmd ready:Modify Pressure
2024-08-02 10:28:42, Maintenance reminder: Items need maintenance. Go to Maintenance module to maintain it!!
2024-08-02 10:28:43, Rebuilding Model...
2024-08-02 10:28:43, Completed
2024-08-02 10:28:43, Open File: C:\\Users\\CypTronic_Pro\\Desktop\\Compartida\\WORK\\L_01931.NC
2024-08-02 10:28:43, Current page:Plate Properties
2024-08-02 10:28:52, Command: \u26356?\u25913?\u26495?\u26448?\u21402?\u24230?
2024-08-02 10:28:52, *Cancel*
2024-08-02 10:28:52, Current page:FACut Laser Cutting System for Bevel
2024-08-02 10:28:52, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:29:08,0 Clear Alarm:atras
2024-08-02 10:29:08,\b Alarm:atras
2024-08-02 10:29:08, NewAlarm
2024-08-02 10:29:10,0 Clear Alarm:atras
2024-08-02 10:29:13, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:29:23, Current page:Return Origin
2024-08-02 10:29:23, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:29:25, Cmd ready:Return Origin
2024-08-02 10:29:33, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:31:04, MachineCfg\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:31:05, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:31:06, Current page:FACut Laser Cutting System for BevelL_01931.NC
2024-08-02 10:31:15, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:31:23, Handset V1.29
2024-08-02 10:31:23, \u25163?\u25345?\u30418?\u25353?\u38190?\u28857?\u20987?\u25191?\u34892?TNcMsg: X + jog
2024-08-02 10:31:23, Cmd ready:X + jog
2024-08-02 10:31:25, \u25163?\u25345?\u30418?\u25353?\u38190?\u26494?\u24320?\u25191?\u34892?TNcMsg: Stop X positive jog
2024-08-02 10:31:25, Cmd ready:Stop X positive jog
2024-08-02 10:31:25, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:31:25, \u25163?\u25345?\u30418?\u25353?\u38190?\u28857?\u20987?\u25191?\u34892?TNcMsg: Y + jog
2024-08-02 10:31:25, Cmd ready:Y + jog
2024-08-02 10:31:33, \u25163?\u25345?\u30418?\u25353?\u38190?\u26494?\u24320?\u25191?\u34892?TNcMsg: Stop Y positive jog
2024-08-02 10:31:33, Cmd ready:Stop Y positive jog
2024-08-02 10:31:36, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:31:37, \u25163?\u25345?\u30418?\u25353?\u38190?\u28857?\u20987?\u25191?\u34892?TNcMsg: Y + jog
2024-08-02 10:31:37, Cmd ready:Y + jog
2024-08-02 10:31:37, \u25163?\u25345?\u30418?\u25353?\u38190?\u26494?\u24320?\u25191?\u34892?TNcMsg: Stop Y positive jog
2024-08-02 10:31:37, Cmd ready:Stop Y positive jog
2024-08-02 10:31:39, WKB: Compound keys other than arrow keys detected. Discard commands.
2024-08-02 10:31:39, \u25163?\u25345?\u30418?\u25353?\u38190?\u26494?\u24320?\u25191?\u34892?TNcMsg: NM_NAN
2024-08-02 10:31:39, Cmd ready:NM_NAN
2024-08-02 10:31:39,"\b State jump error, Cmd:NM_NAN"
2024-08-02 10:31:39,\b HandleExtMsg Error NM_NAN
2024-08-02 10:31:39, \u25163?\u25345?\u30418?\u25353?\u38190?\u26494?\u24320?\u25191?\u34892?TNcMsg: NM_NAN
2024-08-02 10:31:39, Cmd ready:NM_NAN
2024-08-02 10:31:39,"\b State jump error, Cmd:NM_NAN"
2024-08-02 10:31:39,\b HandleExtMsg Error NM_NAN
2024-08-02 10:31:40, \u25163?\u25345?\u30418?\u25353?\u38190?\u26494?\u24320?\u25191?\u34892?TNcMsg: NM_NAN
2024-08-02 10:31:40, Cmd ready:NM_NAN
2024-08-02 10:31:40,"\b State jump error, Cmd:NM_NAN"
2024-08-02 10:31:40,\b HandleExtMsg Error NM_NAN
2024-08-02 10:31:46, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:36:48, Command: Delete
2024-08-02 10:36:52, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:36:58, Command: Delete
2024-08-02 10:37:02, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:37:03, Command: Translate
2024-08-02 10:37:03, Specify move destination:
2024-08-02 10:37:04," (446.2371, 1081.3859)"
2024-08-02 10:37:04, Completed
2024-08-02 10:37:10, Current page:Technique Settings
2024-08-02 10:37:12, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:37:13, Current page:Select Technique
2024-08-02 10:37:19, Current page:Technique Settings
2024-08-02 10:37:21, Current page:FACut Laser Cutting System for BevelL_01931.NC
2024-08-02 10:37:22, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:37:26, Command: Sort
2024-08-02 10:37:33, AppConfig\u20445?\u23384?\u21040?\u25991?\u20214?
2024-08-02 10:37:37, \u25163?\u25345?\u30418?\u25353?\u38190?\u28857?\u20987?\u25191?\u34892?TNcMsg: Shutter On/Off
2024-08-02 10:37:37, Cmd ready:Shutter On/Off
2024-08-02 10:37:37, \u25163?\u25345?\u30418?\u25353?\u38190?\u26494?\u24320?\u25191?\u34892?TNcMsg: NM_NAN
2024-08-02 10:37:37, Cmd ready:NM_NAN
2024-08-02 10:37:37,"\b State jump error, Cmd:NM_NAN"
